Product_ID,Name,Brand,Category,Price,Wattage,Frequency
SP1,iBall Raaga Classic 14 W Laptop/Desktop Speaker,iBall,Speakers,1975,14.0,20-20000Hz
SP2,iBall Musi Cube X1 3 W Bluetooth Speaker,iBall,Speakers,749,3.0,100-20000Hz
SP3,iBall Cinebar 200DD Dolby Digital 120 W Bluetooth Soundbar,iBall,Speakers,10499,120.0,45-20000Hz
SP4,iBall Tarang Classic 40 W Bluetooth Home Theatre,iBall,Speakers,3999,40.0,40-20000Hz
SP5,iBall Hi-Basss Bluetooth Laptop/Desktop Speaker,iBall,Speakers,2499,30.0,40-20000Hz
SP6,iBall Thunder 2.1 40 W Bluetooth Home Theatre,iBall,Speakers,2499,40.0,40-20000Hz
SP7,iBall Musi Boom 30 W Bluetooth Speaker,iBall,Speakers,4949,30.0,40-20000Hz
SP8,iBall Musi Barrel 12 W Bluetooth Speaker,iBall,Speakers,2225,12.0,40-20000Hz
SP9,iBall Musi Twins 20 W Bluetooth Speaker,iBall,Speakers,3999,20.0,40-20000Hz
SP10,iBall Karaoke Barrel 15 W Bluetooth Party Speaker,iBall,Speakers,4799,15.0,20-20000Hz
SP11,iball Theatre 5.1 30 W Bluetooth Home Theatre,iBall,Speakers,4649,30.0,100-20000Hz
SP12,iball Sound Wave2ver 2.0 4 W Laptop/Desktop Speaker,iBall,Speakers,651,4.0,45-20000Hz
SP13,iBall Cinebar 100 High Power 80 W Bluetooth Soundbar,iBall,Speakers,6999,80.0,40-20000Hz
SP14,iball Soundking i3 16 W Bluetooth Laptop/Desktop Speaker,iBall,Speakers,2399,16.0,40-20000Hz
SP15,iBall Musi Rock 16 W Bluetooth Speaker,iBall,Speakers,2699,16.0,40-20000Hz
SP16,iball Sound Wave 2 4 W Mobile/Tablet Speaker,iBall,Speakers,699,4.0,40-20000Hz
SP17,iball SOUND KING I3 2.1 Home Theatre,iBall,Speakers,2299,20.0,40-20000Hz
SP18,iBall Breathless BT49 V2.0 72 W Bluetooth Home Theatre,iBall,Speakers,8250,72.0,40-20000Hz
SP19,Intex IT-XM BANG SUFB 54 W Bluetooth Home Theatre,Intex,Speakers,3499,54.0,20-20000Hz
SP20,Intex 2622 Portable Bluetooth Home Theatre,Intex,Speakers,2199,30.0,40-20000Hz
SP21,Intex IT-2616 BT 55 W Bluetooth Home Theatre,Intex,Speakers,2199,55.0,20-20000Hz
SP22,Intex IT 881U 16 W Laptop/Desktop Speaker,Intex,Speakers,1199,16.0,20-20000Hz
SP23,Intex Beast8-101 Portable Wireless Bluetooth Speaker,Intex,Speakers,750,5.0,20-20000Hz
SP24,Intex Beast 601 10 W Bluetooth Speaker,Intex,Speakers,1499,10.0,40-20000Hz
SP25,Intex IT 2655 60 W Laptop/Desktop Speaker,Intex,Speakers,2492,60.0,40-20000Hz
SP26,Intex IT-2616 Multimedia 55 W Portable Home Theatre,Intex,Speakers,1999,55.0,40-20000Hz
SP27,Intex Beast 401 5 W Bluetooth Speaker,Intex,Speakers,1095,5.0,40-20000Hz
SP28,Intex 2.1 Choral TUFB OS 40 W Bluetooth Home Theatre,Intex,Speakers,2399,40.0,40-20000Hz
SP29,Intex Beast 801 10 W Bluetooth Speaker,Intex,Speakers,1599,10.0,40-20000Hz
SP30,Intex 2.1 Bang Plus FMUB OS 54 W Bluetooth Home Theatre,Intex,Speakers,2999,54.0,20-20000Hz
SP31,Intex 2.1 Bomb TUFB OS 86 W Bluetooth Home Theatre,Intex,Speakers,4749,86.0,100-20000Hz
SP32,Intex IT-301 FMUB 4.1 Wooden Subwoofer Multimedia Speaker,Intex,Speakers,3599,60.0,45-20000Hz
SP33,Intex BT-30 3 W Bluetooth Speaker,Intex,Speakers,927,5.0,40-20000Hz
SP34,Intex BT-150 TU 6 W Bluetooth Speaker,Intex,Speakers,1149,6.0,40-20000Hz
SP35,Intex 4.1 XV CHORAL TUFB 52 W Bluetooth Home Theatre,Intex,Speakers,3690,52.0,40-20000Hz
SP36,Intex IT 890 16 W Portable Laptop/Desktop Speaker,Intex,Speakers,1200,16.0,40-20000Hz
SP37,Intex 2.1 XV BANG SUFB 55 W Bluetooth Home Theatre,Intex,Speakers,3990,55.0,40-20000Hz
SP38,Zebronics FAME 2.0 channel 2.5 W Laptop/Desktop Speaker,Zebronics,Speakers,539,2.5,180-20000Hz
SP39,Zebronics BT3440 RUCF 40 Watt Bluetooth Laptop/Desktop Speaker,Zebronics,Speakers,2199,40.0,20-20000Hz
SP40,Zebronics zeb-bronze 4 btrucf 90 W Bluetooth Home Theatre,Zebronics,Speakers,2999,90.0,30-20000Hz
SP41,Zebronics BT4440 RUCF 60 Watt Bluetooth Home Theatre,Zebronics,Speakers,2977,60.0,20-20000Hz
SP42,Zebronics Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop Speaker,Zebronics,Speakers,1499,16.0,20-20000Hz
SP43,Zebronics ZEB-WARRIOR 10 W Laptop/Desktop Speaker,Zebronics,Speakers,699,10.0,40-20000Hz
SP44,Zebronics ZEB-FEEL 4 60 W Bluetooth Home Theatre,Zebronics,Speakers,2399,60.0,40-20000Hz
SP45,Zebronics Zeb-S999 10 W Laptop/Desktop Speaker,Zebronics,Speakers,659,10.0,180-20000Hz
SP46,Zebronics Zeb-Juke Bar 4000 80 W Bluetooth Soundbar,Zebronics,Speakers,5997,80.0,20-20000Hz
SP47,Zebronics Zeb-Sunshine 60 W Bluetooth Home Theatre,Zebronics,Speakers,2192,60.0,30-20000Hz
SP48,Zebronics INDIE 105 W Bluetooth Home Theatre,Zebronics,Speakers,5499,105.0,20-20000Hz
SP49,Zebronics ZEB-BT 6590 RUCF 65 W Bluetooth Home Theatre,Zebronics,Speakers,3599,65.0,20-20000Hz
SP50,Zebronics Sound Feast 50 14 W Bluetooth Speaker,Zebronics,Speakers,1835,14.0,20-20000Hz
